DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
143,98,64,66,38,141,97,64,65,38,Backward
118,92,65,66,36,120,93,64,66,36,Backward
114,97,76,62,36,115,99,78,62,36,Backward
106,109,85,68,35,106,113,85,68,35,Backward
98,127,95,62,34,95,130,95,62,34,Backward
103,123,96,71,37,101,127,96,71,37,Backward
90,124,87,77,36,87,126,86,76,37,Backward
111,121,86,76,36,110,124,84,75,36,Backward
127,101,87,74,37,125,103,81,73,37,Backward
114,130,64,78,38,113,132,59,77,38,Backward
118,144,48,80,38,115,145,49,79,38,Backward
121,144,58,63,36,119,143,55,63,36,Right
95,147,56,65,36,94,147,56,64,37,Right
90,119,60,63,38,90,120,57,64,37,Right
125,93,65,62,34,124,94,65,62,34,Right
123,98,68,64,35,124,98,68,64,35,Right
121,95,79,61,35,123,95,77,62,35,Right
127,107,69,65,35,128,109,65,66,35,Right
132,121,75,70,34,132,122,73,69,34,Right
110,93,75,70,36,111,95,74,70,36,Right
87,104,81,71,35,86,108,84,72,37,Right
93,103,140,74,34,94,109,138,74,34,Right
81,133,138,67,35,83,136,138,67,35,Right
320,214,109,86,32,322,216,108,85,32,Left
319,204,113,85,33,322,207,112,85,33,Left
339,182,101,90,36,342,185,101,89,36,Left
330,201,123,68,38,334,203,123,69,38,Forward
141,178,79,71,36,145,176,78,72,36,Forward
126,161,74,72,37,129,161,77,73,36,Forward
100,169,73,61,37,97,168,75,62,37,Forward
108,170,88,61,34,106,168,89,62,34,Forward
82,122,77,65,32,82,124,78,65,32,Backward
76,140,68,58,32,75,143,67,58,32,Backward
71,140,74,66,34,72,144,72,67,33,Backward
87,137,100,68,33,83,139,102,68,33,Right
73,134,95,66,33,69,134,96,65,33,Right
78,137,91,64,34,77,139,88,64,34,Right
99,113,75,71,28,99,114,75,70,28,Left
99,114,77,73,32,100,115,76,73,31,Left
114,116,69,74,34,116,115,68,75,33,Left
110,136,74,74,38,111,136,73,74,37,Left
108,136,78,82,37,109,136,78,83,36,Left
95,99,71,77,30,97,99,71,76,30,Forward
